number_correct_lifetime,number_attempted_this_session,topic_ratio,number_in_topic,difficulty,time,will_continue
1,1,1.0,1,0.44855,70.8611429329316,1
2,2,1.0,2,0.44710145,141.7227066369744,1
3,3,1.0,3,0.44565434855,212.58740863501447,0
0,1,0.0,1,0.24975,73.20243913814545,1
0,2,0.0,1,0.34964999999999996,146.4048782762909,1
0,3,0.0,2,0.34930035,219.60731741443635,1
1,4,0.3333333333333333,3,0.34795104964999996,292.81007575222696,1
1,5,0.25,4,0.34760309860034994,366.0128340900176,0
1,1,1.0,1,0.24850025,72.28639442138407,0
1,1,1.0,1,0.34625549550174956,75.84493054472874,1
1,2,0.0,1,0.24825174975000003,151.68986108945748,1
1,3,0.0,1,0.44520869420145004,227.5347916341862,1
1,4,0.0,2,0.4447634855072486,303.37972217891496,0
1,1,1.0,1,0.24700349800025004,66.72786864334672,0
1,1,1.0,1,0.2457564945022498,71.09245875803333,0
1,1,1.0,1,0.24451073800774753,70.58212851439293,1
2,2,1.0,2,0.24326622726973976,141.165919949876,1
3,3,1.0,3,0.24202296104247004,211.7497113853591,0
1,1,1.0,1,0.24078093808142756,69.10469039957808,0
0,1,0.0,1,0.24054015714334614,70.39448745894103,0
1,1,1.0,1,0.3449092400062478,73.78733327356409,1
1,2,0.5,2,0.34456433076624154,147.57130365516377,1
1,3,0.3333333333333333,3,0.3442197664354753,221.3552740367635,0
0,1,0.0,1,0.3438755466690398,74.52072698603146,1
0,2,0.0,1,0.2402996169862028,149.04131431118756,1
0,3,0.0,2,0.34353167112237076,223.56190163634366,0
1,1,1.0,1,0.44331872202174133,70.15735615044161,0
0,1,0.0,1,0.4428754032997196,75.9833043541244,1
0,2,0.0,1,0.3431881394512484,151.9645726863571,1
0,3,0.0,2,0.3428449513117971,227.9458410185898,1
0,4,0.0,2,0.44243252789641985,303.9271093508225,1
0,5,0.0,3,0.3425021063604853,379.90837768305516,0
1,1,1.0,1,0.23905931736921662,71.35620659204281,0
1,1,1.0,1,0.23782025805184742,71.1902872715114,0
1,1,1.0,1,0.23658243779379556,70.9666334039868,1
1,2,0.0,1,0.34215960425412484,141.9332668079736,0
1,1,1.0,1,0.23534585535600178,69.56689605960896,0
1,1,1.0,1,0.3408174446498707,68.79086814468386,0
0,1,0.0,1,0.3404766272052208,69.22238986726876,1
1,2,1.0,1,0.23411050950064577,138.44500135701858,0
0,1,0.0,1,0.44199009536852346,69.27858322626584,0
0,1,0.0,1,0.4415481052731549,73.7415560409481,1
0,2,0.0,2,0.4411065571678818,147.47927202092328,0
0,1,0.0,1,0.3401361505780156,68.85989679464447,0
1,1,1.0,1,0.23287639899114512,71.31868920912478,0
0,1,0.0,1,0.4406654506107139,73.40321707325974,1
1,2,1.0,1,0.33879601442743756,146.80864680190277,1
1,3,0.5,2,0.33845721841301013,220.21187259579543,1
